model,elements,mean_moving_accuracy,std_moving_accuracy,source
HTM,1529,0.13366336633663367,0.09109448972484332,Cui et al. [58] processed result
HTM,1537,0.13564356435643565,0.09393425754596507,Cui et al. [58] processed result
HTM,1545,0.13861386138613863,0.09558430404869046,Cui et al. [58] processed result
HTM,1553,0.13663366336633664,0.09432479496090734,Cui et al. [58] processed result
HTM,1561,0.13960396039603962,0.09563044413217563,Cui et al. [58] processed result
HTM,1570,0.1405940594059406,0.09678692601861336,Cui et al. [58] processed result
HTM,1579,0.13960396039603962,0.09583524240535651,Cui et al. [58] processed result
HTM,1587,0.14356435643564358,0.09843894782243161,Cui et al. [58] processed result
HTM,1596,0.14356435643564358,0.09883648178855804,Cui et al. [58] processed result
HTM,1605,0.14356435643564358,0.09883648178855804,Cui et al. [58] processed result
HTM,1614,0.1425742574257426,0.09763400424254295,Cui et al. [58] processed result
HTM,1622,0.1415841584158416,0.09650799327213863,Cui et al. [58] processed result
HTM,1631,0.13960396039603962,0.09470337140790669,Cui et al. [58] processed result
HTM,1640,0.13861386138613863,0.09403334709373279,Cui et al. [58] processed result
HTM,1648,0.1405940594059406,0.09566631547866267,Cui et al. [58] processed result
HTM,1656,0.14356435643564358,0.0990346503720604,Cui et al. [58] processed result
HTM,1665,0.14455445544554457,0.10011267057239238,Cui et al. [58] processed result
HTM,1673,0.14752475247524752,0.10284169425408778,Cui et al. [58] processed result
HTM,1681,0.14752475247524752,0.10529087340668643,Cui et al. [58] processed result
HTM,1690,0.1485148514851485,0.10636078417422405,Cui et al. [58] processed result
HTM,1698,0.1495049504950495,0.10759328997407938,Cui et al. [58] processed result
HTM,1707,0.1504950495049505,0.10871269094107569,Cui et al. [58] processed result
HTM,1715,0.15346534653465346,0.11116038729140088,Cui et al. [58] processed result
HTM,1723,0.15544554455445544,0.11114274838502333,Cui et al. [58] processed result
HTM,1731,0.15742574257425743,0.11362006281744322,Cui et al. [58] processed result
HTM,1739,0.1594059405940594,0.11668475406072862,Cui et al. [58] processed result
HTM,1747,0.1603960396039604,0.11780097994246216,Cui et al. [58] processed result
HTM,1755,0.1613861386138614,0.1177385511829633,Cui et al. [58] processed result
HTM,1763,0.16237623762376238,0.1166637490824193,Cui et al. [58] processed result
HTM,1771,0.16237623762376238,0.11531147217061916,Cui et al. [58] processed result
HTM,1779,0.16435643564356436,0.11674774632066277,Cui et al. [58] processed result
HTM,1787,0.16831683168316833,0.11914145708111938,Cui et al. [58] processed result
HTM,1795,0.1722772277227723,0.12046701920202084,Cui et al. [58] processed result
HTM,1803,0.17623762376237626,0.12317086368383356,Cui et al. [58] processed result
HTM,1812,0.17623762376237626,0.12396419188823397,Cui et al. [58] processed result
HTM,1820,0.17623762376237623,0.12156867705481846,Cui et al. [58] processed result
HTM,1829,0.17722772277227722,0.12040597275334373,Cui et al. [58] processed result
HTM,1838,0.17722772277227722,0.12040597275334373,Cui et al. [58] processed result
HTM,1846,0.17524752475247524,0.12061746834206111,Cui et al. [58] processed result
HTM,1855,0.17623762376237623,0.11953574869533917,Cui et al. [58] processed result
HTM,1864,0.17722772277227722,0.11851861495964156,Cui et al. [58] processed result
HTM,1872,0.1801980198019802,0.11961772919238776,Cui et al. [58] processed result
HTM,1881,0.18019801980198022,0.11846483969224574,Cui et al. [58] processed result
HTM,1890,0.18019801980198022,0.1186302241643577,Cui et al. [58] processed result
HTM,1899,0.18019801980198022,0.11771773423922256,Cui et al. [58] processed result
HTM,1907,0.18514851485148517,0.11922781979240314,Cui et al. [58] processed result
HTM,1915,0.19009900990099013,0.12092185854076852,Cui et al. [58] processed result
HTM,1924,0.19009900990099013,0.12164928755174391,Cui et al. [58] processed result
HTM,1932,0.1930693069306931,0.12280820298386211,Cui et al. [58] processed result
HTM,1941,0.1940594059405941,0.12192296458504669,Cui et al. [58] processed result
HTM,1950,0.19009900990099013,0.12075961258209367,Cui et al. [58] processed result
HTM,1959,0.19009900990099013,0.12075961258209367,Cui et al. [58] processed result
HTM,1967,0.19108910891089112,0.1182370583217973,Cui et al. [58] processed result
HTM,1975,0.1900990099009901,0.11570187055834885,Cui et al. [58] processed result
HTM,1984,0.1891089108910891,0.11465072928899057,Cui et al. [58] processed result
HTM,1993,0.1900990099009901,0.11587119871942805,Cui et al. [58] processed result
HTM,2002,0.18712871287128713,0.1128408852577225,Cui et al. [58] processed result
HTM,2010,0.18712871287128713,0.11336093203425651,Cui et al. [58] processed result
HTM,2019,0.18415841584158416,0.11035940430172493,Cui et al. [58] processed result
HTM,2027,0.18415841584158416,0.11062556612644293,Cui et al. [58] processed result
HTM,2035,0.1891089108910891,0.11179353440109512,Cui et al. [58] processed result
HTM,2044,0.1891089108910891,0.11179353440109512,Cui et al. [58] processed result
HTM,2052,0.18811881188118812,0.11192936840445607,Cui et al. [58] processed result
HTM,2061,0.18712871287128716,0.11073627807557547,Cui et al. [58] processed result
