poems,title,author,goal_based,contextual,contextual_single,goal_line,contextual_line,feedback_character
1000,复合记忆试验0284,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0285,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0286,synthetic-stress,0,14,14,0,3,0
1000,复合记忆试验0287,synthetic-stress,0,14,14,0,3,0
1000,复合记忆试验0288,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0289,synthetic-stress,0,14,14,0,3,0
1000,复合记忆试验0290,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0291,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0292,synthetic-stress,0,15,13,0,3,0
1000,复合记忆试验0293,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0294,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0295,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0296,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0297,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0298,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0299,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0300,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0301,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0302,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0303,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0304,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0305,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0306,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0307,synthetic-stress,0,14,13,0,3,0
1000,复合记忆试验0308,synthetic-stress,0,14,14,0,3,0
1000,复合记忆试验0309,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0310,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0311,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0312,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0313,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0314,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0315,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0316,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0317,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0318,synthetic-stress,0,14,14,0,3,0
1000,复合记忆试验0319,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0320,synthetic-stress,0,14,14,0,3,0
1000,复合记忆试验0321,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0322,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0323,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0324,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0325,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0326,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0327,synthetic-stress,0,14,14,0,3,0
1000,复合记忆试验0328,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0329,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0330,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0331,synthetic-stress,0,15,14,0,3,0
