prediction_index,records_seen,timestamp,anchor_semantics,rolling_window,cumulative_standard_mape,cumulative_repo_metric,cumulative_wape,rolling_standard_mape,rolling_repo_metric,rolling_wape
247,446,2014-07-10 09:30:00,predict_before_observe,25,1.1774466217641815,0.5625304558907692,0.5625304558907692,1.9678696337390726,0.7809983313762581,0.7809983313762581
247,446,2014-07-10 09:30:00,predict_before_observe,50,1.1774466217641815,0.5625304558907692,0.5625304558907692,1.1847032087776028,0.549921059893623,0.549921059893623
247,446,2014-07-10 09:30:00,predict_before_observe,100,1.1774466217641815,0.5625304558907692,0.5625304558907692,1.0321025702590507,0.5204482707666886,0.5204482707666886
248,447,2014-07-10 10:00:00,predict_before_observe,25,1.1740352355452028,0.5613470200982883,0.5613470200982883,1.9595234540089168,0.7754362175403732,0.7754362175403732
248,447,2014-07-10 10:00:00,predict_before_observe,50,1.1740352355452028,0.5613470200982883,0.5613470200982883,1.1891298534069077,0.5561700784274877,0.5561700784274877
248,447,2014-07-10 10:00:00,predict_before_observe,100,1.1740352355452028,0.5613470200982883,0.5613470200982883,1.0342667165040893,0.5231250072323677,0.5231250072323677
249,448,2014-07-10 10:30:00,predict_before_observe,25,1.1714774877100078,0.5612238482228145,0.5612238482228145,1.9800989263168562,0.8224955233283939,0.8224955233283939
249,448,2014-07-10 10:30:00,predict_before_observe,50,1.1714774877100078,0.5612238482228145,0.5612238482228145,1.1918672166620146,0.559471166322839,0.559471166322839
249,448,2014-07-10 10:30:00,predict_before_observe,100,1.1714774877100078,0.5612238482228145,0.5612238482228145,1.038345589984033,0.5283651265181426,0.5283651265181426
250,449,2014-07-10 11:00:00,predict_before_observe,25,1.1682888049737505,0.5603101414315889,0.5603101414315889,1.9734398915301716,0.8201571894373672,0.8201571894373672
250,449,2014-07-10 11:00:00,predict_before_observe,50,1.1682888049737505,0.5603101414315889,0.5603101414315889,1.1943330673028811,0.5623455303540017,0.5623455303540017
250,449,2014-07-10 11:00:00,predict_before_observe,100,1.1682888049737505,0.5603101414315889,0.5603101414315889,1.0402611722612927,0.5310693877962972,0.5310693877962972
251,450,2014-07-10 11:30:00,predict_before_observe,25,1.1663546152479167,0.5609579195515992,0.5609579195515992,2.00040285791862,0.8737594187998302,0.8737594187998302
251,450,2014-07-10 11:30:00,predict_before_observe,50,1.1663546152479167,0.5609579195515992,0.5609579195515992,1.1949548783216972,0.5630783318108972,0.5630783318108972
251,450,2014-07-10 11:30:00,predict_before_observe,100,1.1663546152479167,0.5609579195515992,0.5609579195515992,1.045031461143572,0.5368226920990213,0.5368226920990213
252,451,2014-07-10 12:00:00,predict_before_observe,25,1.1634385268806335,0.5602687978041767,0.5602687978041767,1.989918856738552,0.8579789004708425,0.8579789004708425
252,451,2014-07-10 12:00:00,predict_before_observe,50,1.1634385268806335,0.5602687978041767,0.5602687978041767,1.1972959027109789,0.5652674227329411,0.5652674227329411
252,451,2014-07-10 12:00:00,predict_before_observe,100,1.1634385268806335,0.5602687978041767,0.5602687978041767,1.0467773195605867,0.5385593755391052,0.5385593755391052
253,452,2014-07-10 12:30:00,predict_before_observe,25,1.1597206875376138,0.5585346964999361,0.5585346964999361,1.9808908903444291,0.8409138407185902,0.8409138407185902
