script,line,option,aliases,default,paper_facing,diagnostic,legacy,duplicated,silent_override_risk,future_config_group
experiments/diagnostics/analyze_fig9_scenario_aware_identity.py,248,--run-dir,--run-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_scenario_aware_identity.py,249,--output-dir,--output-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_scenario_aware_identity.py,250,--policy-label,--policy-label,'batched',False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_scenario_aware_identity.py,251,--bootstrap-samples,--bootstrap-samples,1000,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_scenario_aware_identity.py,252,--bootstrap-seed,--bootstrap-seed,0,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_segment_context_composition.py,386,--run-dir,--run-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_segment_context_composition.py,387,--output-dir,--output-dir,None,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_teacher_forced_identity.py,1100,--run-dir,--run-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_teacher_forced_identity.py,1101,--output-dir,--output-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_teacher_forced_identity.py,1102,--policy-label,--policy-label,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_teacher_forced_identity.py,1103,--bootstrap-samples,--bootstrap-samples,1000,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_teacher_forced_identity.py,1104,--bootstrap-seed,--bootstrap-seed,0,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_temporal_context.py,606,--l2-dir,--l2-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_temporal_context.py,607,--l4-dir,--l4-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_temporal_context.py,608,--output-dir,--output-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_temporal_context.py,609,--on-dir,--on-dir,,False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_temporal_context.py,610,--off-dir,--off-dir,,False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_temporal_context.py,611,--analyze-only,--analyze-only,,False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_timing_eligibility_decomposition.py,617,--run-dir,--run-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_timing_eligibility_decomposition.py,618,--output-dir,--output-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_timing_eligibility_decomposition.py,619,--bootstrap-samples,--bootstrap-samples,1000,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_timing_eligibility_decomposition.py,620,--bootstrap-seed,--bootstrap-seed,0,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_wrong_segment_reinforcement.py,478,--l2-run,--l2-run,,False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_wrong_segment_reinforcement.py,479,--l4-run,--l4-run,,False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_wrong_segment_reinforcement.py,480,--output-dir,--output-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_wrong_segment_reinforcement.py,481,--bootstrap-samples,--bootstrap-samples,1000,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_wrong_segment_reinforcement.py,482,--bootstrap-seed,--bootstrap-seed,0,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/assemble_fig9_resumed_diagnostics.py,206,--before-run,--before-run,,False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/assemble_fig9_resumed_diagnostics.py,207,--resumed-run,--resumed-run,,False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/assemble_fig9_resumed_diagnostics.py,208,--resume-index,--resume-index,,False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/assemble_fig9_resumed_diagnostics.py,209,--formal-start-index,--formal-start-index,200,False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/assemble_fig9_resumed_diagnostics.py,210,--formal-end-index,--formal-end-index,245,False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/assemble_fig9_resumed_diagnostics.py,211,--output-dir,--output-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/audit_fig9_paper_code_parity.py,624,--output-dir,--output-dir,'',False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/benchmark_real_timeseries.py,300,--dataset,--dataset,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/benchmark_real_timeseries.py,301,--data,--data,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/benchmark_real_timeseries.py,302,--horizon,--horizon,1,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/benchmark_real_timeseries.py,303,--lookback,--lookback,24,False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/benchmark_real_timeseries.py,304,--train-ratio,--train-ratio,0.7,False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/benchmark_real_timeseries.py,305,--test-size,--test-size,3000,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/benchmark_real_timeseries.py,306,--train-stride,--train-stride,1,False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/benchmark_real_timeseries.py,307,--bins,--bins,16,False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/benchmark_real_timeseries.py,308,--max-features,--max-features,8,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/benchmark_real_timeseries.py,309,--target-weight,--target-weight,4,False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/benchmark_real_timeseries.py,310,--num-columns,--num-columns,1024,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/benchmark_real_timeseries.py,311,--k,--k,3,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/benchmark_real_timeseries.py,312,--neighbors,--neighbors,10,False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/benchmark_real_timeseries.py,313,--min-overlap,--min-overlap,8,False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/benchmark_real_timeseries.py,314,--seed,--seed,42,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/build_fig9_lmatch_stack_500_report.py,308,--analysis-dir,--analysis-dir,,False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/build_fig9_lmatch_stack_500_report.py,309,--component-analysis-dir,--component-analysis-dir,,False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/build_fig9_lmatch_stack_500_report.py,310,--output-dir,--output-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/compare_fig9_competition_policies.py,348,--sequential-trace,--sequential-trace,,False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/compare_fig9_competition_policies.py,349,--batched-trace,--batched-trace,,False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/compare_fig9_competition_policies.py,350,--sequential-summary,--sequential-summary,'',False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/compare_fig9_competition_policies.py,351,--batched-summary,--batched-summary,'',False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/compare_fig9_competition_policies.py,352,--output-dir,--output-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/etth1_paper_snn.py,225,--data,--data,'data/ETTh1.csv',False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/etth1_paper_snn.py,226,--horizon,--horizon,1,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/etth1_paper_snn.py,227,--warmup-ratio,--warmup-ratio,0.7,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/etth1_paper_snn.py,228,--warmup,--warmup,0,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/etth1_paper_snn.py,229,--test-size,--test-size,2000,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/etth1_paper_snn.py,230,--value-min,--value-min,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/etth1_paper_snn.py,231,--value-max,--value-max,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/etth1_paper_snn.py,232,--report-every,--report-every,1000,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/etth1_paper_snn.py,233,--output-csv,--output-csv,'',False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/etth1_paper_snn.py,234,--output-plot,--output-plot,'',False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/fig7_context_audit.py,25,--task,--task,'multiple-4',False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/fig7_context_audit.py,26,--elements,--elements,6000,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/fig7_context_audit.py,27,--seed,--seed,7,False,True,False,True,LOW,DiagnosticConfig
