path,directory,size_bytes_recursive,mtime_latest,experiment_family,known_commit,protocol_available,checkpoint,report,raw_prediction,temporary,credibility,regeneration_cost,suggested_future_action
results/fig9_diagnostics/l2_ambiguity_accumulation_20260810_101500/debug_typeerror_240_245,debug_typeerror_240_245,13399452,2026-08-10T10:29:37.759961,Fig9,,True,True,False,True,True,D,HIGH,REGENERABLE
results/fig9_diagnostics/l2_ambiguity_accumulation_20260810_101500/debug_typeerror_240_245_limit50000,debug_typeerror_240_245_limit50000,13399601,2026-08-10T10:31:51.145186,Fig9,,True,True,False,True,True,D,HIGH,REGENERABLE
results/fig9_diagnostics/l2_ambiguity_smoke20_20260810,l2_ambiguity_smoke20_20260810,636134,2026-08-10T09:32:32.039824,Fig9,,True,False,True,True,True,C,LOW,REGENERABLE
results/fig9_diagnostics/l2_ambiguity_smoke20_20260810_v2,l2_ambiguity_smoke20_20260810_v2,310738,2026-08-10T09:42:27.910457,Fig9,,True,False,False,True,True,C,LOW,REGENERABLE
results/fig9_diagnostics/l2_ambiguity_smoke50_20260810,l2_ambiguity_smoke50_20260810,3533810,2026-08-10T09:39:42.505604,Fig9,,True,False,False,True,True,C,LOW,REGENERABLE
results/fig9_diagnostics/l2_ambiguity_smoke50_20260810/L2_off,L2_off,444603,2026-08-10T09:34:49.924175,Fig9,,True,False,False,True,True,C,LOW,REGENERABLE
results/fig9_diagnostics/l2_ambiguity_smoke50_20260810/L2_on,L2_on,1291073,2026-08-10T09:36:34.301669,Fig9,,True,False,False,True,True,C,LOW,REGENERABLE
results/fig9_diagnostics/l2_ambiguity_smoke50_20260810/L4_off,L4_off,420897,2026-08-10T09:38:05.393011,Fig9,,True,False,False,True,True,C,LOW,REGENERABLE
results/fig9_diagnostics/l2_ambiguity_smoke50_20260810/L4_on,L4_on,1377237,2026-08-10T09:39:42.505604,Fig9,,True,False,False,True,True,C,LOW,REGENERABLE
results/fig9_diagnostics/l2_l4_long_sequence_20260810_025042,l2_l4_long_sequence_20260810_025042,100487514,2026-08-10T05:59:21.210787,Fig9,,True,True,True,True,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/l2_l4_long_sequence_20260810_025042/L2_cache50k_500,L2_cache50k_500,6033823,2026-08-10T04:36:51.195982,Fig9,,False,True,False,False,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/l2_l4_long_sequence_20260810_025042/L2_recordwise_500,L2_recordwise_500,24896795,2026-08-10T05:48:10.211247,Fig9,,True,True,False,True,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/l2_l4_long_sequence_20260810_025042/L4_20260810_025042_865,L4_20260810_025042_865,10176057,2026-08-10T02:59:48.743775,Fig9,,False,True,False,False,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/l2_l4_long_sequence_20260810_025042/L4_cache50k_240_250,L4_cache50k_240_250,11590967,2026-08-10T03:11:37.391405,Fig9,,True,True,False,True,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/l2_l4_long_sequence_20260810_025042/L4_recordwise_500,L4_recordwise_500,26787432,2026-08-10T04:32:51.140107,Fig9,,True,True,False,True,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/l2_l4_long_sequence_20260810_025042/L4_resume_malloc_230_240,L4_resume_malloc_230_240,20782922,2026-08-10T03:05:24.423259,Fig9,,True,True,False,True,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/l2_resume_isolation_actual_branch_170_180_20260808,l2_resume_isolation_actual_branch_170_180_20260808,134698780,2026-08-08T08:31:18.951112,Fig9,,True,True,False,False,True,C,HIGH,REGENERABLE
results/fig9_diagnostics/l2_resume_isolation_core_170_180_20260808,l2_resume_isolation_core_170_180_20260808,5327613,2026-08-08T08:30:21.998850,Fig9,,True,True,False,False,True,C,HIGH,REGENERABLE
results/fig9_diagnostics/l2_resume_isolation_core_180_189_20260808,l2_resume_isolation_core_180_189_20260808,3786,2026-08-08T08:27:08.312187,Fig9,,False,False,False,False,True,C,LOW,REGENERABLE
results/fig9_diagnostics/l2_resume_isolation_core_180_190_20260808,l2_resume_isolation_core_180_190_20260808,3786,2026-08-08T08:25:38.273528,Fig9,,False,False,False,False,True,C,LOW,REGENERABLE
