field,record_range,observe_scenario,counterfactual_L_match,columns,columns_with_any_passing_segment_rate,mean_passing_segment_count,mean_passing_neuron_count,mean_best_passing_overlap,selected_segment_compatibility_rate,teacher_reference_neuron_availability_rate,teacher_reference_segment_availability_rate
weekday,100-149,scenario3,2,9,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.0,0.0,0.0
weekday,100-149,scenario3,3,9,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0
weekday,100-149,scenario3,4,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weekday,150-199,scenario1,1,194,1.0,2.2628865979381443,2.2628865979381443,14.541237113402062,1.0,1.0,1.0
weekday,150-199,scenario1,2,194,1.0,1.2525773195876289,1.2525773195876289,14.541237113402062,0.9845360824742269,0.9845360824742269,0.9845360824742269
weekday,150-199,scenario1,3,194,0.9896907216494846,1.041237113402062,1.041237113402062,14.52061855670103,0.8969072164948454,0.8969072164948454,0.8969072164948454
weekday,150-199,scenario1,4,194,0.9896907216494846,1.0051546391752577,1.0051546391752577,14.52061855670103,0.8917525773195877,0.8917525773195877,0.8917525773195877
weekday,150-199,scenario2,1,293,1.0,1.9453924914675769,1.9453924914675769,18.66211604095563,1.0,1.0,1.0
weekday,150-199,scenario2,2,293,1.0,1.180887372013652,1.180887372013652,18.66211604095563,1.0,1.0,1.0
weekday,150-199,scenario2,3,293,1.0,1.0341296928327646,1.0341296928327646,18.66211604095563,1.0,1.0,1.0
weekday,150-199,scenario2,4,293,1.0,1.0204778156996588,1.0204778156996588,18.66211604095563,1.0,1.0,1.0
weekday,150-199,scenario3,1,9,0.8888888888888888,1.0,1.0,1.2222222222222223,0.0,0.0,0.0
weekday,150-199,scenario3,2,9,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.0,0.0,0.0
weekday,150-199,scenario3,3,9,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0
weekday,150-199,scenario3,4,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weekday,200-244,scenario1,1,58,1.0,1.6724137931034482,1.6724137931034482,16.086206896551722,1.0,1.0,1.0
weekday,200-244,scenario1,2,58,1.0,1.4310344827586208,1.4310344827586208,16.086206896551722,0.9827586206896551,0.9827586206896551,0.9827586206896551
weekday,200-244,scenario1,3,58,1.0,1.2241379310344827,1.2241379310344827,16.086206896551722,0.8793103448275862,0.8793103448275862,0.8793103448275862
weekday,200-244,scenario1,4,58,1.0,1.0344827586206897,1.0344827586206897,16.086206896551722,0.7931034482758621,0.7931034482758621,0.7931034482758621
weekday,200-244,scenario2,1,381,1.0,1.3018372703412073,1.3018372703412073,20.06824146981627,1.0,1.0,1.0
weekday,200-244,scenario2,2,381,1.0,1.1128608923884515,1.1128608923884515,20.06824146981627,1.0,1.0,1.0
