field,record_range,context_variant,columns,mean_best_overlap,mean_passing_segments_L1,ambiguous_segment_rate_L1,ambiguous_neuron_rate_L1,selected_compatibility_rate_L1,mean_passing_segments_L2,ambiguous_segment_rate_L2,ambiguous_neuron_rate_L2,selected_compatibility_rate_L2,mean_passing_segments_L3,ambiguous_segment_rate_L3,ambiguous_neuron_rate_L3,selected_compatibility_rate_L3,mean_passing_segments_L4,ambiguous_segment_rate_L4,ambiguous_neuron_rate_L4,selected_compatibility_rate_L4
passenger,50-99,ALL_CELL_CURRENT,455,2.375824175824176,1.243956043956044,0.33406593406593404,0.33406593406593404,0.2153846153846154,0.4043956043956044,0.07252747252747253,0.07252747252747253,0.210989010989011,0.2681318681318681,0.02197802197802198,0.02197802197802198,0.210989010989011,0.2175824175824176,0.017582417582417582,0.017582417582417582,0.1978021978021978
passenger,50-99,BURST_ONLY,455,2.1032967032967034,1.2043956043956043,0.3230769230769231,0.3230769230769231,0.21318681318681318,0.38461538461538464,0.06593406593406594,0.06593406593406594,0.210989010989011,0.26593406593406593,0.02197802197802198,0.02197802197802198,0.210989010989011,0.2153846153846154,0.017582417582417582,0.017582417582417582,0.1956043956043956
passenger,50-99,CROSS_FIELD_ONLY,455,2.1362637362637362,1.0307692307692307,0.2857142857142857,0.2857142857142857,0.2,0.25934065934065936,0.01978021978021978,0.01978021978021978,0.18681318681318682,0.2021978021978022,0.008791208791208791,0.008791208791208791,0.18681318681318682,0.1934065934065934,0.008791208791208791,0.008791208791208791,0.18461538461538463
passenger,50-99,PREDICTED_ONLY,455,0.2923076923076923,0.2175824175824176,0.015384615384615385,0.015384615384615385,0.15604395604395604,0.06593406593406594,0.0,0.0,0.06593406593406594,0.024175824175824177,0.0,0.0,0.024175824175824177,0.002197802197802198,0.0,0.0,0.002197802197802198
passenger,50-99,PREDICTED_PLUS_WINNER,455,1.832967032967033,0.6241758241758242,0.13846153846153847,0.13846153846153847,0.1824175824175824,0.18461538461538463,0.002197802197802198,0.002197802197802198,0.17142857142857143,0.16703296703296702,0.002197802197802198,0.002197802197802198,0.16483516483516483,0.16483516483516483,0.002197802197802198,0.002197802197802198,0.16263736263736264
passenger,50-99,SAME_FIELD_ONLY,455,0.3868131868131868,0.3362637362637363,0.07252747252747253,0.07252747252747253,0.05054945054945055,0.07032967032967033,0.002197802197802198,0.002197802197802198,0.024175824175824177,0.05714285714285714,0.002197802197802198,0.002197802197802198,0.024175824175824177,0.013186813186813187,0.0,0.0,0.006593406593406593
passenger,50-99,WINNER_ONLY,455,1.832967032967033,0.6241758241758242,0.13846153846153847,0.13846153846153847,0.1824175824175824,0.18461538461538463,0.002197802197802198,0.002197802197802198,0.17142857142857143,0.16703296703296702,0.002197802197802198,0.002197802197802198,0.16483516483516483,0.16483516483516483,0.002197802197802198,0.002197802197802198,0.16263736263736264
passenger,50-99,WITHOUT_BURST_ONLY,455,1.832967032967033,0.6241758241758242,0.13846153846153847,0.13846153846153847,0.1824175824175824,0.18461538461538463,0.002197802197802198,0.002197802197802198,0.17142857142857143,0.16703296703296702,0.002197802197802198,0.002197802197802198,0.16483516483516483,0.16483516483516483,0.002197802197802198,0.002197802197802198,0.16263736263736264
time,0-49,ALL_CELL_CURRENT,432,3.6643518518518516,1.6365740740740742,0.4675925925925926,0.4675925925925926,0.39814814814814814,0.8541666666666666,0.1875,0.1875,0.3611111111111111,0.6157407407407407,0.10416666666666667,0.10416666666666667,0.3472222222222222,0.3611111111111111,0.04398148148148148,0.04398148148148148,0.2986111111111111
time,0-49,BURST_ONLY,432,3.5555555555555554,1.5486111111111112,0.4351851851851852,0.4351851851851852,0.37037037037037035,0.8194444444444444,0.18287037037037038,0.18287037037037038,0.34953703703703703,0.5925925925925926,0.09490740740740741,0.09490740740740741,0.33564814814814814,0.3472222222222222,0.034722222222222224,0.034722222222222224,0.2916666666666667
time,0-49,CROSS_FIELD_ONLY,432,2.048611111111111,0.3587962962962963,0.05555555555555555,0.05555555555555555,0.2175925925925926,0.2175925925925926,0.009259259259259259,0.009259259259259259,0.2013888888888889,0.2175925925925926,0.009259259259259259,0.009259259259259259,0.2013888888888889,0.19444444444444445,0.0023148148148148147,0.0023148148148148147,0.18981481481481483
time,0-49,PREDICTED_ONLY,432,0.14814814814814814,0.12037037037037036,0.018518518518518517,0.018518518518518517,0.041666666666666664,0.03935185185185185,0.0,0.0,0.016203703703703703,0.006944444444444444,0.0,0.0,0.006944444444444444,0.0,0.0,0.0,0.0
time,0-49,PREDICTED_PLUS_WINNER,432,2.1319444444444446,0.4398148148148148,0.06481481481481481,0.06481481481481481,0.25462962962962965,0.24074074074074073,0.0023148148148148147,0.0023148148148148147,0.19907407407407407,0.18981481481481483,0.0,0.0,0.1875,0.18287037037037038,0.0,0.0,0.18055555555555555
time,0-49,SAME_FIELD_ONLY,432,1.9675925925925926,1.4305555555555556,0.39351851851851855,0.39351851851851855,0.2708333333333333,0.6342592592592593,0.08101851851851852,0.08101851851851852,0.17592592592592593,0.39351851851851855,0.018518518518518517,0.018518518518518517,0.1550925925925926,0.1527777777777778,0.0,0.0,0.10648148148148148
time,0-49,WINNER_ONLY,432,2.1319444444444446,0.4398148148148148,0.06481481481481481,0.06481481481481481,0.25462962962962965,0.24074074074074073,0.0023148148148148147,0.0023148148148148147,0.19907407407407407,0.18981481481481483,0.0,0.0,0.1875,0.18287037037037038,0.0,0.0,0.18055555555555555
time,0-49,WITHOUT_BURST_ONLY,432,2.1319444444444446,0.4398148148148148,0.06481481481481481,0.06481481481481481,0.25462962962962965,0.24074074074074073,0.0023148148148148147,0.0023148148148148147,0.19907407407407407,0.18981481481481483,0.0,0.0,0.1875,0.18287037037037038,0.0,0.0,0.18055555555555555
