field,record_range,observe_scenario,counterfactual_L_match,columns,ambiguous_column_rate,multiple_neuron_ambiguity_rate,mean_extra_passing_segments
time,50-99,scenario1,4,142,0.16901408450704225,0.16901408450704225,0.18309859154929578
time,50-99,scenario2,1,341,0.9912023460410557,0.9912023460410557,2.7360703812316713
time,50-99,scenario2,2,341,0.7653958944281525,0.7653958944281525,1.2111436950146628
time,50-99,scenario2,3,341,0.39002932551319647,0.39002932551319647,0.4809384164222874
time,50-99,scenario2,4,341,0.20821114369501467,0.20821114369501467,0.21994134897360704
time,50-99,scenario3,1,17,0.6470588235294118,0.6470588235294118,1.1764705882352942
time,50-99,scenario3,2,17,0.29411764705882354,0.29411764705882354,0.29411764705882354
time,50-99,scenario3,3,17,0.058823529411764705,0.058823529411764705,0.058823529411764705
time,50-99,scenario3,4,17,0.0,0.0,0.0
weekday,0-49,scenario2,1,464,0.0,0.0,0.0
weekday,0-49,scenario2,2,464,0.0,0.0,0.0
weekday,0-49,scenario2,3,464,0.0,0.0,0.0
weekday,0-49,scenario2,4,464,0.0,0.0,0.0
weekday,0-49,scenario3,1,12,0.0,0.0,0.0
weekday,0-49,scenario3,2,12,0.0,0.0,0.0
weekday,0-49,scenario3,3,12,0.0,0.0,0.0
weekday,0-49,scenario3,4,12,0.0,0.0,0.0
weekday,100-149,scenario1,1,74,1.0,1.0,1.0810810810810811
weekday,100-149,scenario1,2,74,0.5675675675675675,0.5675675675675675,0.5945945945945946
weekday,100-149,scenario1,3,74,0.21621621621621623,0.21621621621621623,0.22972972972972974
weekday,100-149,scenario1,4,74,0.06756756756756757,0.06756756756756757,0.06756756756756757
weekday,100-149,scenario2,1,412,0.441747572815534,0.441747572815534,0.49514563106796117
weekday,100-149,scenario2,2,412,0.2961165048543689,0.2961165048543689,0.29854368932038833
weekday,100-149,scenario2,3,412,0.15048543689320387,0.15048543689320387,0.15048543689320387
weekday,100-149,scenario2,4,412,0.12135922330097088,0.12135922330097088,0.12135922330097088
weekday,100-149,scenario3,1,9,0.1111111111111111,0.1111111111111111,0.1111111111111111
weekday,100-149,scenario3,2,9,0.0,0.0,0.0
weekday,100-149,scenario3,3,9,0.0,0.0,0.0
weekday,100-149,scenario3,4,9,0.0,0.0,0.0
weekday,150-199,scenario1,1,194,1.0,1.0,1.2628865979381443
weekday,150-199,scenario1,2,194,0.2422680412371134,0.2422680412371134,0.25257731958762886
weekday,150-199,scenario1,3,194,0.05154639175257732,0.05154639175257732,0.05154639175257732
weekday,150-199,scenario1,4,194,0.015463917525773196,0.015463917525773196,0.015463917525773196
weekday,150-199,scenario2,1,293,0.8873720136518771,0.8873720136518771,0.9453924914675768
weekday,150-199,scenario2,2,293,0.17064846416382254,0.17064846416382254,0.18088737201365188
weekday,150-199,scenario2,3,293,0.034129692832764506,0.034129692832764506,0.034129692832764506
weekday,150-199,scenario2,4,293,0.020477815699658702,0.020477815699658702,0.020477815699658702
weekday,150-199,scenario3,1,9,0.1111111111111111,0.1111111111111111,0.1111111111111111
weekday,150-199,scenario3,2,9,0.0,0.0,0.0
weekday,150-199,scenario3,3,9,0.0,0.0,0.0
weekday,150-199,scenario3,4,9,0.0,0.0,0.0
weekday,200-244,scenario1,1,58,0.603448275862069,0.603448275862069,0.6724137931034483
weekday,200-244,scenario1,2,58,0.43103448275862066,0.43103448275862066,0.43103448275862066
weekday,200-244,scenario1,3,58,0.22413793103448276,0.22413793103448276,0.22413793103448276
weekday,200-244,scenario1,4,58,0.034482758620689655,0.034482758620689655,0.034482758620689655
weekday,200-244,scenario2,1,381,0.27034120734908135,0.27034120734908135,0.30183727034120733
weekday,200-244,scenario2,2,381,0.11023622047244094,0.11023622047244094,0.11286089238845144
weekday,200-244,scenario2,3,381,0.02099737532808399,0.02099737532808399,0.02099737532808399
weekday,200-244,scenario2,4,381,0.005249343832020997,0.005249343832020997,0.005249343832020997
weekday,200-244,scenario3,1,8,0.0,0.0,0.0
weekday,200-244,scenario3,2,8,0.0,0.0,0.0
weekday,200-244,scenario3,3,8,0.0,0.0,0.0
weekday,200-244,scenario3,4,8,0.0,0.0,0.0
weekday,50-99,scenario1,1,79,0.5569620253164557,0.5569620253164557,0.569620253164557
weekday,50-99,scenario1,2,79,0.26582278481012656,0.26582278481012656,0.26582278481012656
weekday,50-99,scenario1,3,79,0.12658227848101267,0.12658227848101267,0.12658227848101267
weekday,50-99,scenario1,4,79,0.0759493670886076,0.0759493670886076,0.0759493670886076
weekday,50-99,scenario2,1,407,0.3464373464373464,0.3464373464373464,0.3759213759213759
weekday,50-99,scenario2,2,407,0.27764127764127766,0.27764127764127766,0.27764127764127766
weekday,50-99,scenario2,3,407,0.1941031941031941,0.1941031941031941,0.1941031941031941
weekday,50-99,scenario2,4,407,0.08845208845208845,0.08845208845208845,0.08845208845208845
weekday,50-99,scenario3,1,10,0.0,0.0,0.0
weekday,50-99,scenario3,2,10,0.0,0.0,0.0
weekday,50-99,scenario3,3,10,0.0,0.0,0.0
weekday,50-99,scenario3,4,10,0.0,0.0,0.0
