task,elements,mean_moving_accuracy,std_moving_accuracy,completed_trials
multiple-4,2750,0.5599999999999999,0.07443117626371358,10
multiple-4,3000,0.597,0.09980480950335008,10
multiple-4,3250,0.639,0.0721734023030645,10
multiple-4,3500,0.675,0.06375735251718033,10
multiple-4,3750,0.7,0.07155417527999326,10
multiple-4,4000,0.709,0.06533758489567852,10
multiple-4,4250,0.725,0.05643580423808985,10
multiple-4,4500,0.73,0.043127717305695645,10
multiple-4,4750,0.718,0.06954135460285485,10
multiple-4,5000,0.722,0.06808817812219684,10
multiple-4,5250,0.7110000000000001,0.07980601481091511,10
multiple-4,5500,0.734,0.07158212067269312,10
multiple-4,5750,0.737,0.071,10
multiple-4,6000,0.759,0.06204030947698439,10
multiple-4,6250,0.763,0.04838388161361177,10
multiple-4,6500,0.76,0.04024922359499623,10
multiple-4,6750,0.742,0.04044749683231338,10
multiple-4,7000,0.751,0.05223983154643591,10
multiple-4,7250,0.748,0.062257529665093535,10
multiple-4,7500,0.751,0.07435724578008521,10
multiple-4,7750,0.749,0.08092589202474078,10
multiple-4,8000,0.762,0.07678541528180988,10
multiple-4,8250,0.764,0.06343500610861483,10
multiple-4,8500,0.768,0.057410800377629294,10
multiple-4,8750,0.762,0.06584831053261732,10
multiple-4,9000,0.758,0.06954135460285486,10
multiple-4,9250,0.752,0.07678541528180988,10
multiple-4,9500,0.742,0.0644670458451448,10
multiple-4,9750,0.766,0.07432361670424818,10
multiple-4,10000,0.7809999999999999,0.08005623023850174,10
