sentence_index,word_index,target_word,column,neuron,segment_index,candidate_score,response_peak,crossing_time,soma_firing_time,threshold_crossed,valid_firing_time,event_winner,column_winner,prediction_candidate,selected_by_current_path,selection_key
2,2,Great,56,1,0,,0.5217308321535699,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,75,4,0,,0.5217308321535699,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,25,8,0,,0.5217308321535699,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,66,3,0,,0.5217308321535699,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,29,2,0,,0.5217308321535699,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,81,5,0,,0.5217308321535699,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,37,3,0,,0.5217308321535699,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,63,5,0,,0.5217308321535699,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,0,4,0,,0.5217308321535699,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,78,8,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,23,6,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,12,0,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,57,1,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,38,0,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,18,8,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,11,1,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,68,2,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,88,3,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,81,4,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,60,9,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,48,5,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,90,8,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,50,4,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,53,3,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,9,2,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,72,6,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,80,3,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,25,7,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,99,3,0,,,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,78,8,0,1.0264701271290195,1.067826116859492,0.4695256890190974,0.9695256890190974,True,False,False,False,False,False,candidate_or_later
2,3,Square,23,6,0,1.0264701271290195,1.067826116859492,0.5250812445746529,1.0249999999999995,True,True,True,True,True,False,candidate_or_later
2,3,Square,12,0,0,1.0264701271290195,1.067826116859492,0.5806368001302085,1.0799999999999983,True,True,True,True,True,False,candidate_or_later
2,3,Square,57,1,0,1.0264701271290195,1.067826116859492,0.636192355685764,1.1349999999999971,True,True,True,True,True,False,candidate_or_later
2,3,Square,38,0,0,1.0264701271290195,1.067826116859492,0.6917479112413196,1.1917479112413196,True,True,True,True,True,False,candidate_or_later
2,3,Square,18,8,0,1.0264701271290195,1.067826116859492,0.7473034667968752,1.2473034667968752,True,True,True,True,True,False,candidate_or_later
2,3,Square,11,1,0,1.0264701271290195,1.067826116859492,0.8028590223524306,1.3028590223524306,True,True,True,True,True,False,candidate_or_later
2,3,Square,68,2,0,1.0264701271290195,1.067826116859492,0.8584145779079864,1.3584145779079864,True,True,True,True,True,False,candidate_or_later
2,3,Square,88,3,0,1.0264701271290195,1.067826116859492,0.913970133463542,1.413970133463542,True,True,True,True,True,False,candidate_or_later
2,3,Square,81,4,0,1.0264701271290195,1.067826116859492,0.9695256890190975,1.4695256890190975,True,True,True,True,True,False,candidate_or_later
2,3,Square,41,2,0,,,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,56,1,0,,,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,75,4,0,,,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,25,8,0,,,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,66,3,0,,,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,29,2,0,,,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,81,5,0,,,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,37,3,0,,,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,63,5,0,,,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,0,4,0,,,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,5,0,0,,,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,76,5,0,,,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,50,7,0,,,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,57,2,0,,,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,83,7,0,,,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,94,5,0,,,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,78,1,0,,,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,20,9,0,,,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,79,4,0,,,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,1,9,0,,,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,67,3,0,,,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,8,2,0,,,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,7,1,0,,,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,4,7,0,,,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,24,5,0,,,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,30,0,0,,,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,76,9,0,,,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,3,5,0,,,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,99,8,0,,,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,59,8,0,,,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,13,1,0,,0.61981155069937,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,37,4,0,,0.61981155069937,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,49,7,0,,0.61981155069937,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,8,6,0,,0.61981155069937,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,2,9,0,,0.61981155069937,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,87,9,0,,0.61981155069937,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,0,7,0,,0.61981155069937,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,27,4,0,,0.61981155069937,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,26,0,0,,0.61981155069937,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,6,7,0,,0.61981155069937,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,86,6,0,,,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,34,9,0,,,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,43,8,0,,,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,11,8,0,,,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,39,2,0,,,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,42,4,0,,,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,1,1,0,,,,,False,False,False,False,False,False,candidate_or_later
2,3,Square,52,4,0,,,,,False,False,False,False,False,False,candidate_or_later
